kepid,koi_disposition,koi_period,koi_time0bk,koi_duration,koi_depth,koi_prad,koi_teq
6276477,CONFIRMED,10.35533116,170.93729,3.1775,750.6,2.47,777.0
6291653,CONFIRMED,10.526294577,176.522462,2.5211,9768.0,8.24,713.0
6392727,CONFIRMED,4.583520948,169.973972,2.7055,3812.1,5.39,1038.0
6422070,CONFIRMED,3.76181843,171.90364,3.5176,510.6,2.66,1121.0
6428700,CONFIRMED,8.20396958,169.69138,2.9667,1024.4,3.01,742.0
8544996,CONFIRMED,4.082274889,169.6375652,3.23015,17859.2,10.55,1016.0
8552202,CANDIDATE,3.886655224,169.73814,3.1646,581.6,1.87,1010.0
8605074,FALSE POSITIVE,37.601661282,194.713383,8.30604,59130.1,27.22,606.0
8628973,CONFIRMED,3.314947362,171.313058,1.8007,1398.2,3.94,1155.0
8655354,FALSE POSITIVE,6.71969089,173.35776,3.0231,969.7,4.37,952.0
8672910,CONFIRMED,39.6431552,206.596798,6.5292,15663.8,10.98,472.0
2302548,CONFIRMED,10.38122447,268.02421,2.715,801.5,2.18,672.0
8644288,CONFIRMED,7.641567589,135.407564,3.41018,2269.7,4.91,899.0
2302548,CONFIRMED,24.5709023,135.87209,3.587,764.2,2.82,505.0
10743597,FALSE POSITIVE,0.817026268,132.835239,2.0799,1145.5,2.92,1784.0
10154388,CONFIRMED,12.06222962,138.22229,2.0584,300.2,1.62,750.0
1432789,CONFIRMED,9.93146307,136.49128,5.678,398.6,2.41,931.0
1432789,CANDIDATE,4.57834367,132.2982,3.987,140.7,1.44,1206.0
8240904,CONFIRMED,6.61836309,360.36694,3.6813,549.1,2.98,1066.0
8410727,CONFIRMED,11.47609015,135.39622,5.046,182.3,2.07,984.0
8410727,CONFIRMED,25.2630467,134.18397,6.22,125.5,1.71,756.0
8278371,CONFIRMED,0.677374687,133.94573,1.8361,76.7,0.9,2099.0
8280511,CONFIRMED,10.43547031,134.82462,3.4167,210.2,1.22,759.0
8280511,CONFIRMED,7.41084314,135.75425,3.245,124.1,0.94,850.0
8280511,CONFIRMED,5.24970432,135.46911,2.746,61.9,0.67,954.0
8280511,CANDIDATE,17.4532945,146.66244,4.027,79.3,0.76,639.0
6677841,CONFIRMED,35.7353616,151.1133,8.491,778.8,5.47,774.0
6677841,CONFIRMED,12.30971679,137.68401,6.74,396.0,3.82,1104.0
6677841,CONFIRMED,98.353149,217.883,24.708,423.0,4.13,552.0
6531491,FALSE POSITIVE,14.32407216,364.39537,4.6577,2053.9,38.86,782.0
6383821,CONFIRMED,27.07237655,139.1127,6.9592,514.2,2.18,605.0
6607286,CANDIDATE,0.783276173,355.94865,1.6735,264.7,1.98,2149.0
6607286,CANDIDATE,3.17405898,357.05776,2.3156,282.2,2.09,1348.0
11818800,CANDIDATE,40.4195037,173.56469,3.362,6256.0,7.51,467.0
11853255,CONFIRMED,2.243380573,170.679233,1.1196,821.7,1.99,822.0
11909839,FALSE POSITIVE,10.405998015,177.197466,6.5036,14488.8,11.23,833.0
11918099,CONFIRMED,2.337437946,171.761982,1.9982,971.2,2.34,1070.0
8395660,CONFIRMED,6.164876,135.63916,3.262,55.8,0.79,1021.0
11918099,CANDIDATE,7.2406612,137.75545,0.558,556.4,19.45,734.0
11923270,CONFIRMED,11.59822233,180.395376,2.5237,2804.5,2.65,396.0
6428700,CONFIRMED,14.49645186,143.41659,4.016,647.5,3.01,613.0
